11/02/2023,15:00,Fulham,Nottm Forest,A Madley
11/02/2023,15:00,Leicester,Tottenham,M Salisbury
11/02/2023,15:00,Southampton,Wolves,J Gillett
11/02/2023,17:30,Bournemouth,Newcastle,S Attwell
12/02/2023,14:00,Leeds,Man United,P Tierney
12/02/2023,16:30,Man City,Aston Villa,R Jones
13/02/2023,20:00,Liverpool,Everton,S Hooper
15/02/2023,19:30,Arsenal,Man City,A Taylor
18/02/2023,12:30,Aston Villa,Arsenal,S Hooper
18/02/2023,15:00,Brentford,Crystal Palace,P Tierney
18/02/2023,15:00,Brighton,Fulham,D England
18/02/2023,15:00,Chelsea,Southampton,D Coote
18/02/2023,15:00,Everton,Leeds,A Madley
18/02/2023,15:00,Nottm Forest,Man City,G Scott
18/02/2023,15:00,Wolves,Bournemouth,M Salisbury
18/02/2023,17:30,Newcastle,Liverpool,A Taylor
19/02/2023,14:00,Man United,Leicester,S Attwell
19/02/2023,16:30,Tottenham,West Ham,M Oliver
24/02/2023,20:00,Fulham,Wolves,M Oliver
25/02/2023,15:00,Everton,Aston Villa,A Taylor
25/02/2023,15:00,Leeds,Southampton,P Bankes
25/02/2023,15:00,Leicester,Arsenal,C Pawson
25/02/2023,15:00,West Ham,Nottm Forest,J Gillett
25/02/2023,17:30,Bournemouth,Man City,P Tierney
25/02/2023,19:45,Crystal Palace,Liverpool,D England
26/02/2023,13:30,Tottenham,Chelsea,S Attwell
01/03/2023,19:45,Arsenal,Everton,M Oliver
01/03/2023,20:00,Liverpool,Wolves,P Tierney
04/03/2023,12:30,Man City,Newcastle,S Hooper
04/03/2023,15:00,Arsenal,Bournemouth,C Kavanagh
04/03/2023,15:00,Aston Villa,Crystal Palace,C Pawson
04/03/2023,15:00,Brighton,West Ham,S Attwell
04/03/2023,15:00,Chelsea,Leeds,M Oliver
04/03/2023,15:00,Wolves,Tottenham,T Robinson
04/03/2023,17:30,Southampton,Leicester,R Jones
05/03/2023,14:00,Nottm Forest,Everton,J Brooks
05/03/2023,16:30,Liverpool,Man United,A Madley
06/03/2023,20:00,Brentford,Fulham,A Taylor
11/03/2023,12:30,Bournemouth,Liverpool,J Brooks
11/03/2023,15:00,Everton,Brentford,S Hooper
11/03/2023,15:00,Leeds,Brighton,P Tierney
11/03/2023,15:00,Leicester,Chelsea,A Marriner
11/03/2023,15:00,Tottenham,Nottm Forest,C Pawson
11/03/2023,17:30,Crystal Palace,Man City,R Jones
12/03/2023,14:00,Fulham,Arsenal,D Coote
12/03/2023,14:00,Man United,Southampton,A Taylor
12/03/2023,14:00,West Ham,Aston Villa,C Kavanagh
12/03/2023,16:30,Newcastle,Wolves,A Madley
15/03/2023,19:30,Brighton,Crystal Palace,P Bankes
15/03/2023,19:30,Southampton,Brentford,M Salisbury
17/03/2023,20:00,Nottm Forest,Newcastle,P Tierney
18/03/2023,15:00,Aston Villa,Bournemouth,R Jones
18/03/2023,15:00,Brentford,Leicester,D Bond
18/03/2023,15:00,Southampton,Tottenham,S Hooper
18/03/2023,15:00,Wolves,Leeds,M Salisbury
18/03/2023,17:30,Chelsea,Everton,D England
19/03/2023,14:00,Arsenal,Crystal Palace,S Attwell
01/04/2023,12:30,Man City,Liverpool,S Hooper
01/04/2023,15:00,Arsenal,Leeds,D England
01/04/2023,15:00,Bournemouth,Fulham,P Bankes
01/04/2023,15:00,Brighton,Brentford,M Oliver
01/04/2023,15:00,Crystal Palace,Leicester,T Robinson
01/04/2023,15:00,Nottm Forest,Wolves,C Kavanagh
01/04/2023,17:30,Chelsea,Aston Villa,A Madley
02/04/2023,14:00,West Ham,Southampton,P Tierney
02/04/2023,16:30,Newcastle,Man United,S Attwell
03/04/2023,20:00,Everton,Tottenham,D Coote
04/04/2023,19:45,Bournemouth,Brighton,D Bond
04/04/2023,19:45,Leeds,Nottm Forest,R Jones
04/04/2023,19:45,Leicester,Aston Villa,G Scott
04/04/2023,20:00,Chelsea,Liverpool,A Taylor
05/04/2023,20:00,Man United,Brentford,J Brooks
05/04/2023,20:00,West Ham,Newcastle,C Pawson
08/04/2023,12:30,Man United,Everton,M Oliver
08/04/2023,15:00,Aston Villa,Nottm Forest,A Taylor
08/04/2023,15:00,Brentford,Newcastle,C Kavanagh
08/04/2023,15:00,Fulham,West Ham,J Gillett
08/04/2023,15:00,Leicester,Bournemouth,D Coote
08/04/2023,15:00,Tottenham,Brighton,S Attwell
08/04/2023,15:00,Wolves,Chelsea,P Bankes
08/04/2023,17:30,Southampton,Man City,R Jones
09/04/2023,14:00,Leeds,Crystal Palace,S Hooper
09/04/2023,16:30,Liverpool,Arsenal,P Tierney
15/04/2023,12:30,Aston Villa,Newcastle,J Brooks
15/04/2023,15:00,Chelsea,Brighton,R Jones
15/04/2023,15:00,Everton,Fulham,A Taylor
15/04/2023,15:00,Southampton,Crystal Palace,M Oliver
15/04/2023,15:00,Tottenham,Bournemouth,A Madley
15/04/2023,15:00,Wolves,Brentford,P Tierney
15/04/2023,17:30,Man City,Leicester,D England
16/04/2023,14:00,West Ham,Arsenal,D Coote
16/04/2023,16:30,Nottm Forest,Man United,S Hooper
17/04/2023,20:00,Leeds,Liverpool,C Pawson
21/04/2023,20:00,Arsenal,Southampton,S Hooper
22/04/2023,12:30,Fulham,Leeds,P Bankes
22/04/2023,15:00,Brentford,Aston Villa,M Salisbury
22/04/2023,15:00,Crystal Palace,Everton,J Brooks
22/04/2023,15:00,Leicester,Wolves,A Madley
22/04/2023,15:00,Liverpool,Nottm Forest,M Oliver
23/04/2023,14:00,Bournemouth,West Ham,A Taylor
23/04/2023,14:00,Newcastle,Tottenham,D Coote
25/04/2023,19:30,Wolves,Crystal Palace,R Jones
25/04/2023,19:45,Aston Villa,Fulham,T Bramall
25/04/2023,20:00,Leeds,Leicester,P Tierney
26/04/2023,19:30,Nottm Forest,Brighton,J Gillett
26/04/2023,19:45,Chelsea,Brentford,A Madley
26/04/2023,19:45,West Ham,Liverpool,C Kavanagh
26/04/2023,20:00,Man City,Arsenal,M Oliver
27/04/2023,19:45,Everton,Newcastle,A Marriner
27/04/2023,19:45,Southampton,Bournemouth,D England
27/04/2023,20:15,Tottenham,Man United,A Taylor
29/04/2023,12:30,Crystal Palace,West Ham,C Pawson
29/04/2023,15:00,Brentford,Nottm Forest,P Bankes
